director_id,first_name,last_name
1,DirFirst1,DirLast1
2,DirFirst2,DirLast2
3,DirFirst3,DirLast3
4,DirFirst4,DirLast4
5,DirFirst5,DirLast5
6,DirFirst6,DirLast6
7,DirFirst7,DirLast7
8,DirFirst8,DirLast8
9,DirFirst9,DirLast9
10,DirFirst10,DirLast10
11,DirFirst11,DirLast11
12,DirFirst12,DirLast12
13,DirFirst13,DirLast13
14,DirFirst14,DirLast14
15,DirFirst15,DirLast15
16,DirFirst16,DirLast16
17,DirFirst17,DirLast17
18,DirFirst18,DirLast18
19,DirFirst19,DirLast19
20,DirFirst20,DirLast20
21,DirFirst21,DirLast21
22,DirFirst22,DirLast22
23,DirFirst23,DirLast23
24,DirFirst24,DirLast24
25,DirFirst25,DirLast25
26,DirFirst26,DirLast26
27,DirFirst27,DirLast27
28,DirFirst28,DirLast28
29,DirFirst29,DirLast29
30,DirFirst30,DirLast30
31,DirFirst31,DirLast31
32,DirFirst32,DirLast32
33,DirFirst33,DirLast33
34,DirFirst34,DirLast34
35,DirFirst35,DirLast35
36,DirFirst36,DirLast36
37,DirFirst37,DirLast37
38,DirFirst38,DirLast38
39,DirFirst39,DirLast39
40,DirFirst40,DirLast40
