user_id,first_name,last_name,rewards_points
1,UserFirst1,UserLast1,3031
2,UserFirst2,UserLast2,808
3,UserFirst3,UserLast3,2295
4,UserFirst4,UserLast4,1504
5,UserFirst5,UserLast5,2765
6,UserFirst6,UserLast6,3586
7,UserFirst7,UserLast7,141
8,UserFirst8,UserLast8,4326
9,UserFirst9,UserLast9,4450
10,UserFirst10,UserLast10,4154
11,UserFirst11,UserLast11,4364
12,UserFirst12,UserLast12,1297
13,UserFirst13,UserLast13,264
14,UserFirst14,UserLast14,4048
15,UserFirst15,UserLast15,762
16,UserFirst16,UserLast16,3213
17,UserFirst17,UserLast17,1196
18,UserFirst18,UserLast18,2642
19,UserFirst19,UserLast19,4431
20,UserFirst20,UserLast20,3241
21,UserFirst21,UserLast21,3865
22,UserFirst22,UserLast22,1293
23,UserFirst23,UserLast23,486
24,UserFirst24,UserLast24,4903
25,UserFirst25,UserLast25,2620
26,UserFirst26,UserLast26,3102
27,UserFirst27,UserLast27,4461
28,UserFirst28,UserLast28,2696
29,UserFirst29,UserLast29,2890
30,UserFirst30,UserLast30,4243
31,UserFirst31,UserLast31,299
32,UserFirst32,UserLast32,373
33,UserFirst33,UserLast33,3643
34,UserFirst34,UserLast34,3672
35,UserFirst35,UserLast35,3673
36,UserFirst36,UserLast36,63
37,UserFirst37,UserLast37,452
38,UserFirst38,UserLast38,1073
39,UserFirst39,UserLast39,840
40,UserFirst40,UserLast40,1239
41,UserFirst41,UserLast41,730
42,UserFirst42,UserLast42,4209
43,UserFirst43,UserLast43,2190
44,UserFirst44,UserLast44,4765
45,UserFirst45,UserLast45,3745
46,UserFirst46,UserLast46,736
47,UserFirst47,UserLast47,270
48,UserFirst48,UserLast48,3405
49,UserFirst49,UserLast49,2874
50,UserFirst50,UserLast50,1936
51,UserFirst51,UserLast51,4358
52,UserFirst52,UserLast52,125
53,UserFirst53,UserLast53,2671
54,UserFirst54,UserLast54,1054
55,UserFirst55,UserLast55,2954
56,UserFirst56,UserLast56,1854
57,UserFirst57,UserLast57,4435
58,UserFirst58,UserLast58,1849
59,UserFirst59,UserLast59,698
60,UserFirst60,UserLast60,3051
61,UserFirst61,UserLast61,780
62,UserFirst62,UserLast62,3857
63,UserFirst63,UserLast63,918
64,UserFirst64,UserLast64,2685
65,UserFirst65,UserLast65,3839
66,UserFirst66,UserLast66,3240
67,UserFirst67,UserLast67,4247
68,UserFirst68,UserLast68,4605
69,UserFirst69,UserLast69,876
70,UserFirst70,UserLast70,1535
71,UserFirst71,UserLast71,1461
72,UserFirst72,UserLast72,4061
73,UserFirst73,UserLast73,4639
74,UserFirst74,UserLast74,4614
75,UserFirst75,UserLast75,1169
76,UserFirst76,UserLast76,4838
77,UserFirst77,UserLast77,586
78,UserFirst78,UserLast78,3764
79,UserFirst79,UserLast79,610
80,UserFirst80,UserLast80,4581
81,UserFirst81,UserLast81,3605
82,UserFirst82,UserLast82,493
83,UserFirst83,UserLast83,2896
84,UserFirst84,UserLast84,693
85,UserFirst85,UserLast85,888
86,UserFirst86,UserLast86,131
87,UserFirst87,UserLast87,2848
88,UserFirst88,UserLast88,227
89,UserFirst89,UserLast89,2843
90,UserFirst90,UserLast90,3631
91,UserFirst91,UserLast91,2148
92,UserFirst92,UserLast92,1787
93,UserFirst93,UserLast93,983
94,UserFirst94,UserLast94,1902
95,UserFirst95,UserLast95,4033
96,UserFirst96,UserLast96,3604
97,UserFirst97,UserLast97,1204
98,UserFirst98,UserLast98,2542
99,UserFirst99,UserLast99,4532
100,UserFirst100,UserLast100,1699
101,UserFirst101,UserLast101,2235
102,UserFirst102,UserLast102,1534
103,UserFirst103,UserLast103,1764
104,UserFirst104,UserLast104,2486
105,UserFirst105,UserLast105,4107
106,UserFirst106,UserLast106,4636
107,UserFirst107,UserLast107,391
108,UserFirst108,UserLast108,413
109,UserFirst109,UserLast109,3126
110,UserFirst110,UserLast110,3049
111,UserFirst111,UserLast111,2824
112,UserFirst112,UserLast112,2918
