actor_id,first_name,last_name,birth_year
1,ActorFirst1,ActorLast1,1954
2,ActorFirst2,ActorLast2,2004
3,ActorFirst3,ActorLast3,1981
4,ActorFirst4,ActorLast4,1977
5,ActorFirst5,ActorLast5,2001
6,ActorFirst6,ActorLast6,1959
7,ActorFirst7,ActorLast7,1962
8,ActorFirst8,ActorLast8,1968
9,ActorFirst9,ActorLast9,1961
10,ActorFirst10,ActorLast10,1955
11,ActorFirst11,ActorLast11,1995
12,ActorFirst12,ActorLast12,1961
13,ActorFirst13,ActorLast13,1983
14,ActorFirst14,ActorLast14,1990
15,ActorFirst15,ActorLast15,1984
16,ActorFirst16,ActorLast16,1964
17,ActorFirst17,ActorLast17,1952
18,ActorFirst18,ActorLast18,2001
19,ActorFirst19,ActorLast19,1972
20,ActorFirst20,ActorLast20,2004
21,ActorFirst21,ActorLast21,1983
22,ActorFirst22,ActorLast22,2000
23,ActorFirst23,ActorLast23,1983
24,ActorFirst24,ActorLast24,2003
25,ActorFirst25,ActorLast25,1989
26,ActorFirst26,ActorLast26,1954
27,ActorFirst27,ActorLast27,2001
28,ActorFirst28,ActorLast28,2002
29,ActorFirst29,ActorLast29,2005
30,ActorFirst30,ActorLast30,1980
31,ActorFirst31,ActorLast31,1960
32,ActorFirst32,ActorLast32,1985
33,ActorFirst33,ActorLast33,1957
34,ActorFirst34,ActorLast34,1952
35,ActorFirst35,ActorLast35,1978
36,ActorFirst36,ActorLast36,1968
37,ActorFirst37,ActorLast37,1974
38,ActorFirst38,ActorLast38,1982
39,ActorFirst39,ActorLast39,1956
40,ActorFirst40,ActorLast40,1983
41,ActorFirst41,ActorLast41,1984
42,ActorFirst42,ActorLast42,1958
43,ActorFirst43,ActorLast43,1995
44,ActorFirst44,ActorLast44,1980
45,ActorFirst45,ActorLast45,1982
46,ActorFirst46,ActorLast46,1992
47,ActorFirst47,ActorLast47,1974
48,ActorFirst48,ActorLast48,1999
49,ActorFirst49,ActorLast49,1977
50,ActorFirst50,ActorLast50,1962
51,ActorFirst51,ActorLast51,1989
52,ActorFirst52,ActorLast52,1970
53,ActorFirst53,ActorLast53,2005
54,ActorFirst54,ActorLast54,1978
55,ActorFirst55,ActorLast55,1980
56,ActorFirst56,ActorLast56,1983
57,ActorFirst57,ActorLast57,1985
58,ActorFirst58,ActorLast58,2000
59,ActorFirst59,ActorLast59,1957
60,ActorFirst60,ActorLast60,2000
61,ActorFirst61,ActorLast61,1977
62,ActorFirst62,ActorLast62,1973
63,ActorFirst63,ActorLast63,1965
64,ActorFirst64,ActorLast64,1966
65,ActorFirst65,ActorLast65,1952
66,ActorFirst66,ActorLast66,1995
67,ActorFirst67,ActorLast67,1952
68,ActorFirst68,ActorLast68,1961
69,ActorFirst69,ActorLast69,1970
70,ActorFirst70,ActorLast70,2004
71,ActorFirst71,ActorLast71,1983
72,ActorFirst72,ActorLast72,1997
73,ActorFirst73,ActorLast73,1976
74,ActorFirst74,ActorLast74,1998
75,ActorFirst75,ActorLast75,1977
76,ActorFirst76,ActorLast76,1958
77,ActorFirst77,ActorLast77,1962
