user_id,email,join_date
1,user1@example.com,2022-05-03
2,user2@example.com,2021-06-13
3,user3@example.com,2021-03-09
4,user4@example.com,2022-05-05
5,user5@example.com,2022-03-29
6,user6@example.com,2020-01-23
7,user7@example.com,2022-07-09
8,user8@example.com,2021-02-16
9,user9@example.com,2021-10-06
10,user10@example.com,2022-03-08
11,user11@example.com,2021-04-23
12,user12@example.com,2020-10-08
13,user13@example.com,2020-08-20
14,user14@example.com,2020-02-26
15,user15@example.com,2020-09-30
16,user16@example.com,2020-07-15
17,user17@example.com,2021-12-05
18,user18@example.com,2021-10-25
19,user19@example.com,2022-04-06
20,user20@example.com,2022-05-05
21,user21@example.com,2022-07-12
22,user22@example.com,2022-01-23
23,user23@example.com,2021-06-16
24,user24@example.com,2021-05-23
25,user25@example.com,2020-09-09
26,user26@example.com,2020-01-25
27,user27@example.com,2022-07-27
28,user28@example.com,2022-09-13
29,user29@example.com,2020-10-07
30,user30@example.com,2022-06-01
31,user31@example.com,2020-05-08
32,user32@example.com,2021-12-05
33,user33@example.com,2021-09-18
34,user34@example.com,2021-06-16
35,user35@example.com,2021-02-22
36,user36@example.com,2022-01-11
37,user37@example.com,2022-05-31
38,user38@example.com,2020-05-07
39,user39@example.com,2022-07-26
40,user40@example.com,2020-09-12
41,user41@example.com,2020-08-21
42,user42@example.com,2020-09-20
43,user43@example.com,2020-12-08
44,user44@example.com,2020-11-10
45,user45@example.com,2020-03-19
46,user46@example.com,2022-07-03
47,user47@example.com,2020-08-25
48,user48@example.com,2022-07-14
49,user49@example.com,2020-03-01
50,user50@example.com,2020-05-27
51,user51@example.com,2020-01-02
52,user52@example.com,2020-11-14
53,user53@example.com,2022-05-10
54,user54@example.com,2021-03-24
55,user55@example.com,2022-04-10
56,user56@example.com,2022-02-22
57,user57@example.com,2022-08-15
58,user58@example.com,2021-01-29
59,user59@example.com,2020-02-22
60,user60@example.com,2022-06-11
61,user61@example.com,2022-09-07
62,user62@example.com,2021-11-24
63,user63@example.com,2021-12-23
64,user64@example.com,2021-06-27
65,user65@example.com,2021-08-21
66,user66@example.com,2020-09-16
67,user67@example.com,2021-04-07
68,user68@example.com,2021-10-14
69,user69@example.com,2020-03-18
70,user70@example.com,2021-10-31
71,user71@example.com,2020-04-04
72,user72@example.com,2020-08-09
73,user73@example.com,2022-07-23
74,user74@example.com,2022-05-11
75,user75@example.com,2022-05-04
76,user76@example.com,2021-06-11
77,user77@example.com,2021-06-22
78,user78@example.com,2021-11-19
79,user79@example.com,2020-01-13
80,user80@example.com,2021-08-14
81,user81@example.com,2020-10-11
82,user82@example.com,2021-05-20
83,user83@example.com,2022-01-20
84,user84@example.com,2020-06-19
85,user85@example.com,2022-09-02
86,user86@example.com,2022-09-22
87,user87@example.com,2021-05-31
88,user88@example.com,2020-03-30
89,user89@example.com,2021-04-12
90,user90@example.com,2020-11-16
91,user91@example.com,2021-11-19
92,user92@example.com,2022-03-09
93,user93@example.com,2022-06-21
94,user94@example.com,2020-12-12
95,user95@example.com,2020-11-10
96,user96@example.com,2020-07-12
97,user97@example.com,2021-04-19
98,user98@example.com,2021-08-09
99,user99@example.com,2021-12-10
100,user100@example.com,2021-11-16
101,user101@example.com,2022-08-20
102,user102@example.com,2021-05-09
103,user103@example.com,2021-02-17
104,user104@example.com,2020-07-26
105,user105@example.com,2021-05-15
106,user106@example.com,2020-03-06
107,user107@example.com,2022-06-25
108,user108@example.com,2020-01-15
109,user109@example.com,2020-07-07
110,user110@example.com,2021-09-24
111,user111@example.com,2022-02-05
112,user112@example.com,2021-09-15
113,user113@example.com,2021-11-01
114,user114@example.com,2021-02-02
115,user115@example.com,2020-08-02
116,user116@example.com,2020-03-22
117,user117@example.com,2020-10-07
118,user118@example.com,2021-02-06
119,user119@example.com,2021-01-18
120,user120@example.com,2021-01-19
121,user121@example.com,2022-06-09
122,user122@example.com,2020-01-11
123,user123@example.com,2022-01-01
124,user124@example.com,2020-07-06
125,user125@example.com,2022-03-09
126,user126@example.com,2020-12-03
127,user127@example.com,2022-06-09
128,user128@example.com,2022-02-28
129,user129@example.com,2021-01-28
130,user130@example.com,2021-05-15
131,user131@example.com,2022-06-09
132,user132@example.com,2021-11-06
133,user133@example.com,2020-10-08
134,user134@example.com,2021-11-11
135,user135@example.com,2022-03-15
136,user136@example.com,2022-04-08
137,user137@example.com,2021-07-04
138,user138@example.com,2022-01-27
139,user139@example.com,2021-04-26
140,user140@example.com,2020-03-08
141,user141@example.com,2021-04-26
142,user142@example.com,2020-05-17
143,user143@example.com,2022-05-14
144,user144@example.com,2020-05-11
145,user145@example.com,2022-08-19
146,user146@example.com,2020-03-15
147,user147@example.com,2020-06-02
148,user148@example.com,2021-04-01
149,user149@example.com,2022-03-31
150,user150@example.com,2022-07-13
151,user151@example.com,2021-01-31
152,user152@example.com,2020-02-01
153,user153@example.com,2020-07-09
154,user154@example.com,2020-12-31
155,user155@example.com,2020-12-19
156,user156@example.com,2021-02-17
157,user157@example.com,2020-03-04
158,user158@example.com,2021-03-05
159,user159@example.com,2022-05-11
160,user160@example.com,2022-03-06
161,user161@example.com,2021-01-24
162,user162@example.com,2022-04-11
163,user163@example.com,2020-12-04
164,user164@example.com,2021-09-06
165,user165@example.com,2021-11-07
166,user166@example.com,2020-09-02
167,user167@example.com,2021-04-10
168,user168@example.com,2021-11-25
169,user169@example.com,2021-07-10
170,user170@example.com,2020-06-10
171,user171@example.com,2020-03-10
172,user172@example.com,2022-01-31
173,user173@example.com,2021-06-03
174,user174@example.com,2021-03-04
175,user175@example.com,2022-09-21
176,user176@example.com,2020-06-16
177,user177@example.com,2020-12-24
178,user178@example.com,2022-07-03
179,user179@example.com,2022-02-16
180,user180@example.com,2020-07-07
181,user181@example.com,2020-04-20
182,user182@example.com,2020-01-18
183,user183@example.com,2021-04-24
184,user184@example.com,2021-12-01
185,user185@example.com,2022-03-27
186,user186@example.com,2020-05-17
187,user187@example.com,2022-06-07
188,user188@example.com,2022-03-07
189,user189@example.com,2020-01-16
190,user190@example.com,2020-10-03
191,user191@example.com,2022-07-22
192,user192@example.com,2022-08-22
193,user193@example.com,2022-03-10
194,user194@example.com,2021-09-01
195,user195@example.com,2021-03-12
196,user196@example.com,2021-05-07
197,user197@example.com,2020-11-22
198,user198@example.com,2021-01-15
199,user199@example.com,2021-04-01
200,user200@example.com,2021-12-06
201,user201@example.com,2022-03-21
202,user202@example.com,2020-02-22
203,user203@example.com,2022-07-06
204,user204@example.com,2020-03-25
205,user205@example.com,2021-11-15
206,user206@example.com,2021-09-12
207,user207@example.com,2020-09-17
208,user208@example.com,2022-01-06
209,user209@example.com,2022-05-18
210,user210@example.com,2021-12-19
211,user211@example.com,2022-05-30
212,user212@example.com,2022-01-22
213,user213@example.com,2022-02-01
214,user214@example.com,2022-06-30
215,user215@example.com,2021-12-07
216,user216@example.com,2020-12-14
217,user217@example.com,2020-03-04
218,user218@example.com,2021-02-04
219,user219@example.com,2021-04-14
220,user220@example.com,2021-02-23
221,user221@example.com,2021-10-19
222,user222@example.com,2020-05-12
223,user223@example.com,2022-04-13
224,user224@example.com,2021-09-26
225,user225@example.com,2022-03-15
226,user226@example.com,2022-04-27
227,user227@example.com,2021-06-24
228,user228@example.com,2021-12-23
229,user229@example.com,2021-02-13
230,user230@example.com,2022-05-26
231,user231@example.com,2022-06-10
232,user232@example.com,2020-09-28
233,user233@example.com,2022-02-23
234,user234@example.com,2021-05-27
235,user235@example.com,2020-08-21
236,user236@example.com,2020-08-29
237,user237@example.com,2022-04-02
238,user238@example.com,2022-06-18
239,user239@example.com,2021-12-09
240,user240@example.com,2022-03-24
241,user241@example.com,2022-02-24
242,user242@example.com,2021-08-30
243,user243@example.com,2022-02-03
244,user244@example.com,2021-10-16
245,user245@example.com,2021-04-21
246,user246@example.com,2022-01-29
247,user247@example.com,2020-06-06
248,user248@example.com,2021-10-13
249,user249@example.com,2020-10-25
250,user250@example.com,2022-08-08
251,user251@example.com,2022-09-24
252,user252@example.com,2020-02-26
253,user253@example.com,2022-09-19
254,user254@example.com,2020-10-28
255,user255@example.com,2021-04-24
256,user256@example.com,2020-01-16
257,user257@example.com,2022-05-09
258,user258@example.com,2022-06-25
259,user259@example.com,2022-08-18
260,user260@example.com,2021-06-20
261,user261@example.com,2022-04-01
262,user262@example.com,2022-07-02
263,user263@example.com,2022-09-23
264,user264@example.com,2020-01-15
265,user265@example.com,2020-01-30
266,user266@example.com,2020-11-22
267,user267@example.com,2021-06-20
268,user268@example.com,2020-04-20
269,user269@example.com,2020-04-13
270,user270@example.com,2020-08-15
271,user271@example.com,2021-09-26
272,user272@example.com,2021-12-23
273,user273@example.com,2022-06-24
274,user274@example.com,2020-06-21
275,user275@example.com,2021-01-14
276,user276@example.com,2021-03-06
277,user277@example.com,2022-01-14
278,user278@example.com,2021-10-27
279,user279@example.com,2021-02-20
280,user280@example.com,2020-12-28
281,user281@example.com,2021-06-19
282,user282@example.com,2020-06-19
283,user283@example.com,2021-07-06
284,user284@example.com,2021-07-17
285,user285@example.com,2020-01-17
286,user286@example.com,2022-04-07
287,user287@example.com,2020-11-02
288,user288@example.com,2020-01-17
289,user289@example.com,2021-10-24
290,user290@example.com,2022-06-18
291,user291@example.com,2021-06-24
292,user292@example.com,2020-06-28
293,user293@example.com,2022-04-07
294,user294@example.com,2021-09-24
295,user295@example.com,2022-07-06
296,user296@example.com,2020-05-12
297,user297@example.com,2022-02-01
298,user298@example.com,2022-03-25
299,user299@example.com,2021-01-24
300,user300@example.com,2022-07-28
301,user301@example.com,2020-09-10
302,user302@example.com,2020-08-08
303,user303@example.com,2021-12-24
304,user304@example.com,2022-03-06
305,user305@example.com,2021-04-08
306,user306@example.com,2020-03-04
307,user307@example.com,2022-08-05
308,user308@example.com,2021-01-13
309,user309@example.com,2021-04-10
310,user310@example.com,2021-11-27
311,user311@example.com,2020-06-19
312,user312@example.com,2020-01-20
313,user313@example.com,2021-02-23
314,user314@example.com,2020-05-02
315,user315@example.com,2021-03-29
316,user316@example.com,2022-08-25
317,user317@example.com,2021-02-19
318,user318@example.com,2022-06-12
319,user319@example.com,2020-03-28
320,user320@example.com,2022-02-13
321,user321@example.com,2022-09-12
322,user322@example.com,2020-02-02
323,user323@example.com,2020-08-23
324,user324@example.com,2022-01-12
325,user325@example.com,2022-06-19
326,user326@example.com,2022-01-08
327,user327@example.com,2021-07-21
328,user328@example.com,2021-05-03
329,user329@example.com,2020-12-27
330,user330@example.com,2022-04-16
331,user331@example.com,2020-05-13
332,user332@example.com,2020-04-05
